1,"Horizon Signal Technologies, Inc.",https://horizonsignal.com,Manufacturer,"Reading, PA","Over $250M",10-49,95,Thomasnet,NO_EMAIL,"2026-04-29 20:35:30",
2,"Moog Inc.",https://moog.com,Manufacturer,"Elma, NY","Over $250M",1000+,90,Thomasnet,NO_EMAIL,"2026-04-29 20:35:30",
3,"IFM Efector, Inc.",https://ifm.com,"Manufacturer / Distributor","Malvern, PA",$100M-$249.9M,1000+,85,Thomasnet,NO_EMAIL,"2026-04-29 20:35:30",
4,"Broadcom Corp.",https://broadcom.com,Manufacturer,"San Jose, CA","Over $250M",1000+,85,Thomasnet,new,"2026-04-29 20:35:30",
5,"Ahammed Jadeer General Trading LLC",N/A,"General Trading","Dubai, Silicon Oasis",Unknown,N/A,80,"UAE Directory",NO_EMAIL,"2026-04-29 20:35:30",
6,"PHG General Trading Kft.",N/A,"General Trading","Dubai, Hor Al Anz",Unknown,N/A,75,"UAE Directory",NO_EMAIL,"2026-04-29 20:35:30",
7,"Royal Fifty3 Kft.",N/A,"General Trading","Sharjah, Media City",Unknown,N/A,70,"UAE Directory",NO_EMAIL,"2026-04-29 20:35:30",
8,"Gulf Marketing & Servicing Co.",,"Műszaki kereskedelem","Dubai, Al Quoz",,,70,YellowPages-UAE,new,"2026-04-29 20:46:09",
9,"Al Shirawi Enterprises LLC",,"Nehézgépjármű kereskedelem","Dubai, Ras Al Khor",,,75,YellowPages-UAE,new,"2026-04-29 20:46:09",
10,"Ali Bin Abi Talib Trading",,"Általános kereskedelem","Sharjah, Industrial Area",,,60,YellowPages-UAE,new,"2026-04-29 20:46:09",
11,"Al Ras Steel Trading LLC",,"Acélkereskedelem","Dubai, Al Qusais",,,65,YellowPages-UAE,new,"2026-04-29 20:46:09",
12,"Bin Dasmal Group",,"Épületgépészeti kereskedelem","Dubai, Al Quoz",,,70,YellowPages-UAE,new,"2026-04-29 20:46:09",
13,"Universal Trading Co.",,"Elektronikai cikkek","Abu Dhabi",,,65,YellowPages-UAE,new,"2026-04-29 20:46:09",
14,"Al Ghandi Auto Group",,"Gépjármű import/export","Dubai, Ras Al Khor",,,80,YellowPages-UAE,new,"2026-04-29 20:46:09",
15,"Pacific Ocean Group",,"Nemzetközi kereskedelem","Dubai, JAFZA",,,85,YellowPages-UAE,new,"2026-04-29 20:46:09",
16,"Al Mazroui Group",,"Egészségügyi/Ipari kereskedelem","Abu Dhabi",,,80,YellowPages-UAE,new,"2026-04-29 20:46:09",
